Stock,MSE,MAE,RMSE,MAPE
SBUX,0.1397101879119873,0.34763601422309875,0.37377825379371643,0.5266392230987549
TXN,0.029348691925406456,0.15255212783813477,0.17131459712982178,0.18471506237983704
NTES,0.19108319282531738,0.4268016815185547,0.4371306300163269,0.5134322047233582
MRVL,0.12436863034963608,0.343532919883728,0.3526593744754791,0.4386242628097534
KLAC,0.18894118070602417,0.42098337411880493,0.43467363715171814,0.5774708986282349
AAPL,0.12289654463529587,0.3337014615535736,0.350566029548645,0.4305649697780609
GOOGL,0.0676991418004036,0.23581227660179138,0.26019057631492615,0.29265087842941284
AMAT,0.08156808465719223,0.26151835918426514,0.28560125827789307,0.3711016774177551
PAYX,0.01203510444611311,0.09697487950325012,0.10970462113618851,0.1496714949607849
MAR,0.0868883803486824,0.2661738991737366,0.294768363237381,0.6700860857963562
MSFT,0.04404623806476593,0.2056024968624115,0.20987196266651154,0.23450325429439545
DXCM,0.544460654258728,0.7328025102615356,0.737875759601593,0.8681288361549377
BIIB,0.02088771015405655,0.11129941791296005,0.14452581107616425,0.3001725375652313
CMCSA,0.06845839321613312,0.2001626044511795,0.2616455554962158,0.25441426038742065
EBAY,0.1811925321817398,0.4165971875190735,0.4256671667098999,0.5122491717338562
ATVI,0.05694105476140976,0.2223118245601654,0.23862324655056,0.27258551120758057
ADSK,0.07401568442583084,0.2600802183151245,0.27205824851989746,0.33231619000434875
ADI,0.017679374665021896,0.11266287416219711,0.13296380639076233,0.15594454109668732
FISV,0.0791613981127739,0.26067376136779785,0.2813563644886017,0.3561531901359558
CTSH,0.04962623864412308,0.20139989256858826,0.22276946902275085,0.3551342487335205
QCOM,0.21104077994823456,0.402202844619751,0.4593917429447174,0.5996341109275818
ADBE,0.10438671708106995,0.31447044014930725,0.3230893313884735,0.3698934018611908
CDNS,0.01895575039088726,0.1244514137506485,0.13767988979816437,0.1697508543729782
FTNT,0.03297752887010574,0.16141919791698456,0.18159715831279755,0.18805494904518127
GILD,0.040657006204128265,0.17656242847442627,0.20163582265377045,1.1546845436096191
PYPL,0.14229527115821838,0.36917704343795776,0.3772204518318176,0.470557302236557
WDAY,0.12893402576446533,0.3471640944480896,0.35907384753227234,0.4588768780231476
KHC,0.0016522365622222424,0.03399869054555893,0.0406477116048336,0.17499679327011108
WBA,0.1094074472784996,0.32377755641937256,0.330767959356308,10058916167680.0
BIDU,0.3271788954734802,0.5579094886779785,0.5719955563545227,2.6466434001922607
CME,0.061525966972112656,0.24117015302181244,0.24804428219795227,0.3703464865684509
TMUS,0.15290918946266174,0.379254549741745,0.3910360336303711,0.47053325176239014
MELI,0.02650771290063858,0.14619764685630798,0.16281189024448395,0.22645722329616547
JBHT,0.1384437084197998,0.353946715593338,0.3720802366733551,0.4128176271915436
VRTX,0.042516760528087616,0.17429406940937042,0.2061959207057953,0.19921918213367462
INTC,0.02093997783958912,0.13382309675216675,0.14470651745796204,0.22127693891525269
MTCH,0.003899321658536792,0.053269729018211365,0.062444549053907394,0.07728131860494614
IDXX,0.07486957311630249,0.24803178012371063,0.2736230492591858,0.3187045454978943
ERIC,0.14138273894786835,0.34772276878356934,0.3760089576244354,0.41565626859664917
ROST,0.06741568446159363,0.2331400215625763,0.2596453130245209,0.4179116487503052
MNST,0.11274386942386627,0.32130303978919983,0.3357735276222229,0.4194173812866211
ODFL,0.16803939640522003,0.4037971794605255,0.40992608666419983,0.4635562598705292
ASML,0.14543569087982178,0.3734729290008545,0.38136032223701477,0.49568766355514526
INTU,0.03251225873827934,0.15692751109600067,0.18031156063079834,0.1855434626340866
GOOG,0.05804824084043503,0.21702398359775543,0.24093203246593475,0.26785406470298767
NFLX,0.10959233343601227,0.32553622126579285,0.33104732632637024,0.3770679533481598
ORLY,0.1341279298067093,0.3617410361766815,0.36623480916023254,0.4077731966972351
MU,0.07288337498903275,0.24266493320465088,0.26996922492980957,0.3480035662651062
XLNX,0.06279760599136353,0.2031928449869156,0.25059449672698975,0.28531119227409363
AEP,0.08383878320455551,0.28020188212394714,0.2895492613315582,0.44488123059272766
ISRG,0.05260240286588669,0.19982047379016876,0.22935213148593903,0.236813023686409
FB,0.04970497637987137,0.20203618705272675,0.22294612228870392,0.2458438277244568
AMZN,0.1612359881401062,0.3938523232936859,0.4015420079231262,0.46302977204322815
MDLZ,0.17353162169456482,0.4107039272785187,0.4165712594985962,0.48071011900901794
CSCO,0.020819110795855522,0.11697666347026825,0.14428828656673431,0.17203402519226074
HON,0.024719133973121643,0.12505945563316345,0.1572231948375702,0.19497470557689667
EA,0.07930358499288559,0.2701471447944641,0.281608909368515,0.3286439776420593
VOD,0.015008007176220417,0.10412583500146866,0.12250716984272003,0.530269205570221
SNPS,0.08702895790338516,0.29129722714424133,0.29500672221183777,0.3781406283378601
TSLA,0.259905606508255,0.4593845009803772,0.5098093748092651,0.8451452851295471
SNY,0.2275877594947815,0.4668688476085663,0.47706159949302673,0.5460070967674255
AVGO,0.042451418936252594,0.17547789216041565,0.20603741705417633,0.22431285679340363
MCHP,0.03909450024366379,0.15635867416858673,0.19772329926490784,0.20959331095218658
COST,0.01208671648055315,0.09220275282859802,0.10993960499763489,0.10733441263437271
TROW,0.07988398522138596,0.272829532623291,0.2826375365257263,0.3378625512123108
AMD,0.08414099365472794,0.2758401930332184,0.29007068276405334,0.3511951267719269
POOL,0.07983695715665817,0.2715860903263092,0.28255435824394226,0.3422146737575531
ALGN,0.08624958246946335,0.22248701751232147,0.2936827838420868,0.30607375502586365
LRCX,0.17381486296653748,0.39507216215133667,0.4169110953807831,0.5768929123878479
PEP,0.06707852333784103,0.253160685300827,0.2589952051639557,0.3090648055076599
CTAS,0.03663339465856552,0.17364750802516937,0.1913985162973404,0.204265758395195
TEAM,0.016879424452781677,0.09566914290189743,0.1299208402633667,0.11374936997890472
NVDA,0.28193458914756775,0.5143597722053528,0.5309751033782959,0.6305633187294006
ADP,0.053474847227334976,0.1977776139974594,0.23124629259109497,0.306976318359375
CSX,0.007963107898831367,0.07241640239953995,0.08923624455928802,0.08788925409317017
CHTR,0.18043223023414612,0.4190572500228882,0.4247731566429138,0.49833428859710693
LULU,0.04342461749911308,0.18389759957790375,0.20838573575019836,0.22304841876029968
SIVB,0.05501687899231911,0.17135316133499146,0.23455676436424255,0.2421053946018219
ILMN,0.10409697890281677,0.30203890800476074,0.32264062762260437,0.3666318953037262
AZN,0.02120116539299488,0.135102316737175,0.14560620486736298,0.16091029345989227
BKNG,0.03353303298354149,0.15221723914146423,0.1831202656030655,0.2597295045852661
AMGN,0.0902840718626976,0.28813937306404114,0.30047309398651123,0.33865514397621155
KDP,0.0863412395119667,0.2857871949672699,0.2938387989997864,0.3411168158054352
REGN,0.2989448606967926,0.5403920412063599,0.5467585325241089,0.6831430792808533
NXPI,0.10775154829025269,0.2796601355075836,0.328255295753479,0.3957064747810364
EXC,0.10861827433109283,0.3150976002216339,0.329572856426239,0.5452278256416321
JD,0.25387653708457947,0.47163212299346924,0.5038616061210632,0.6239295601844788
