Stock,MSE,MAE,RMSE,MAPE
DXCM,0.012830376,0.10795685,0.11327125,0.14919384
ASML,0.07784995,0.26490492,0.27901605,0.30010188
CMCSA,0.05698283,0.21523547,0.23871076,0.23363069
QCOM,0.14332117,0.3736625,0.37857783,0.4249888
CDNS,0.12380128,0.3466299,0.35185406,0.40361753
WBA,0.002725682,0.040765353,0.052208066,12756640000000.0
ROST,0.019622715,0.13445829,0.14008111,0.17082249
CSX,0.021995855,0.13681415,0.14830999,0.14216709
BKNG,0.0326354,0.17118734,0.18065271,0.20961556
CME,0.033912484,0.16472922,0.18415342,0.26306513
POOL,0.12476223,0.3497698,0.35321698,0.38881034
JD,0.016986385,0.119565666,0.13033183,0.13091597
ADP,0.00772907,0.08047139,0.08791513,0.089575015
MCHP,0.0885058,0.28360075,0.29749924,0.3234569
MNST,0.068922445,0.2538474,0.26253083,0.28862342
INTC,0.056938715,0.23133579,0.23861834,0.42596465
SBUX,0.01654903,0.106933065,0.12864304,0.13156874
MAR,0.018700384,0.114380874,0.13674934,0.20953347
GOOGL,0.050365716,0.21866068,0.22442308,0.2322309
KDP,0.0062009096,0.06843771,0.07874586,0.07619185
TXN,0.07106449,0.26311994,0.26657924,0.2817666
BIDU,0.015385578,0.07887618,0.124038614,0.17249908
XLNX,0.02589784,0.14917152,0.16092806,0.17746635
AMGN,0.019487774,0.11881296,0.13959862,0.14899132
MDLZ,0.017656712,0.120445654,0.13287856,0.13031112
ISRG,0.07310446,0.25688854,0.27037838,0.28231835
NFLX,0.08771298,0.29157054,0.29616377,0.32609123
EBAY,0.013756586,0.10051449,0.11728848,0.127651
MRVL,0.11202252,0.32699335,0.33469766,0.35919213
NTES,0.022829724,0.14076999,0.15109508,0.16366836
GILD,0.01329455,0.11177828,0.115302,2.4152706
TSLA,0.097754985,0.28439602,0.31265792,0.3593734
SNY,0.031533528,0.16397768,0.17757683,0.20421343
AVGO,0.06735799,0.2510168,0.25953418,0.28377873
PAYX,0.04546864,0.19723539,0.21323377,0.21271236
PEP,0.048163023,0.21320686,0.21946076,0.23002069
ADSK,0.04326641,0.19182763,0.20800579,0.21536888
AMAT,0.054770727,0.20768605,0.23403147,0.23037927
LRCX,0.13990484,0.3648428,0.37403855,0.4266389
WDAY,0.004443816,0.047043655,0.066661954,0.054244164
NXPI,0.0102995755,0.08993662,0.101486824,0.10114681
KLAC,0.1499956,0.38133126,0.38729265,0.42676693
FISV,0.013674064,0.10591712,0.116936155,0.12259424
VRTX,0.021208975,0.12412819,0.14563301,0.19781663
MELI,0.23361129,0.4751108,0.48333353,0.5592605
AMZN,0.07456824,0.2720647,0.27307186,0.30559498
SNPS,0.116461106,0.3369082,0.34126398,0.3810024
ODFL,0.11484764,0.3373836,0.33889177,0.35876736
EXC,0.0027028269,0.03851934,0.051988717,0.05004041
CSCO,0.0077634593,0.060506906,0.08811049,0.11735157
REGN,0.026598753,0.13581891,0.16309124,0.19334716
SIVB,0.069073156,0.2550115,0.2628177,0.29482397
CTAS,0.11904463,0.34158877,0.34502846,0.3648154
MU,0.040587332,0.18422918,0.20146298,0.21450289
VOD,0.005637472,0.068345584,0.0750831,0.29340553
ORLY,0.0034993785,0.05208826,0.059155546,0.057618733
CTSH,0.0014834508,0.031030366,0.03851559,0.03576032
ILMN,0.00792718,0.08065721,0.089034714,0.10930533
ADI,0.06475821,0.24218376,0.25447634,0.2669751
ATVI,0.011315983,0.0781088,0.10637661,0.08611637
TROW,0.069164634,0.25972012,0.2629917,0.2867563
PYPL,0.026737614,0.1635164,0.1635164,0.17344458
GOOG,0.117318444,0.33906037,0.3425178,0.36149764
JBHT,0.019866992,0.12631555,0.14095032,0.13864118
AAPL,0.32165638,0.5628557,0.56714755,0.649308
TMUS,0.124312684,0.34606585,0.35258004,0.37250495
KHC,0.005414959,0.073586404,0.073586404,0.29538426
ERIC,0.019276662,0.13332158,0.13884042,0.14176168
NVDA,0.06902182,0.26146632,0.26272005,0.28721118
BIIB,0.009952991,0.076658286,0.09976468,0.6035601
INTU,0.051922794,0.22150232,0.22786574,0.23890541
ADBE,0.07616087,0.27412724,0.2759726,0.3103784
COST,0.07021717,0.26354945,0.26498523,0.2821089
AMD,0.08302562,0.28494272,0.28814167,0.31675896
AEP,0.0024500962,0.039490797,0.049498446,0.055903573
ALGN,0.13747562,0.36786324,0.37077704,0.4086897
MTCH,0.061407074,0.24411845,0.24780451,0.2757172
MSFT,0.0731782,0.26924697,0.2705147,0.29310668
FB,0.037770297,0.19115746,0.19434582,0.21605717
IDXX,0.07573456,0.2733669,0.27519915,0.300282
CHTR,0.04506037,0.20903316,0.21227428,0.22535492
AZN,0.0064410986,0.06760482,0.080256455,0.0821316
EA,0.05101484,0.20165847,0.22586465,0.24203008
HON,0.109701864,0.30931118,0.33121273,0.3344329
FTNT,0.009171148,0.0722672,0.09576611,0.08571408
LULU,0.031340398,0.17122224,0.17703219,0.1960963
