Stock,MSE,MAE,RMSE,MAPE
DXCM,0.0056887916,0.06391082,0.075424075,0.07712236
ASML,0.017154153,0.10844475,0.13097386,0.1346908
CMCSA,0.01968801,0.12026901,0.14031397,0.15187605
QCOM,0.04466783,0.18581045,0.21134765,0.25504842
CDNS,0.027737621,0.14874898,0.16654615,0.18434554
WBA,0.005770948,0.06996677,0.07596675,4688553000000.0
ROST,0.010964446,0.08231495,0.10471125,0.11807446
CSX,0.0043727793,0.053380262,0.066126995,0.061923258
BKNG,0.00605752,0.060541127,0.07783007,0.088658385
CME,0.012588048,0.0998198,0.112196475,0.1573551
POOL,0.04670099,0.20944035,0.21610412,0.2544793
JD,0.0102710165,0.08377346,0.10134602,0.10367839
ADP,0.017248925,0.12338513,0.13133517,0.17312564
MCHP,0.015896123,0.09568296,0.12607983,0.1220159
MNST,0.022559293,0.121994816,0.1501975,0.14651422
INTC,0.0068282983,0.07225285,0.08263352,0.114162356
SBUX,0.01574006,0.1080307,0.12545939,0.14157143
MAR,0.008335767,0.07339593,0.09130042,0.16338731
GOOGL,0.029713377,0.14794727,0.1723757,0.17087735
KDP,0.0060131047,0.06783809,0.07754421,0.07568004
TXN,0.036324676,0.18033879,0.19059034,0.21478762
BIDU,0.00754944,0.051502466,0.086887516,0.16156794
XLNX,0.01832864,0.10044347,0.13538331,0.12908506
AMGN,0.020300709,0.13197073,0.14248055,0.15306923
MDLZ,0.01349039,0.09647009,0.11614814,0.1132477
ISRG,0.01719899,0.1155931,0.13114491,0.13438675
NFLX,0.08851334,0.28842196,0.2975119,0.32281053
EBAY,0.009331846,0.08317783,0.09660148,0.098425426
MRVL,0.024862345,0.14675467,0.15767798,0.18035471
NTES,0.024081735,0.14798534,0.15518291,0.1698393
GILD,0.0009875774,0.025599748,0.031425744,0.2806808
TSLA,0.053536136,0.2008126,0.23137876,0.32875794
SNY,0.034817707,0.17069657,0.18659504,0.19686371
AVGO,0.017610846,0.123186946,0.13270587,0.15658867
PAYX,0.009242788,0.07024247,0.096139416,0.083890125
PEP,0.015768187,0.114706665,0.12557144,0.13170035
ADSK,0.026373511,0.15356082,0.16239923,0.19303809
AMAT,0.010280211,0.07482989,0.101391375,0.09550938
TEAM,0.01168606,0.08745133,0.10810208,0.102586985
LRCX,0.03370053,0.163597,0.18357705,0.22326814
WDAY,0.005327008,0.05006436,0.07298636,0.061620865
NXPI,0.0067013633,0.06421404,0.08186185,0.08769732
KLAC,0.023616845,0.13083127,0.15367773,0.1622069
FISV,0.0074480744,0.07709744,0.08630223,0.10427507
VRTX,0.006868499,0.07296927,0.08287641,0.09394275
MELI,0.0812669,0.2661127,0.2850735,0.3732998
AMZN,0.0751043,0.2650512,0.27405164,0.29893243
SNPS,0.027625311,0.1598316,0.16620864,0.19905898
ODFL,0.029751737,0.16829409,0.17248692,0.18865813
EXC,0.004552743,0.0504777,0.067474015,0.08048105
CSCO,0.0060272003,0.06237349,0.07763504,0.10905464
REGN,0.012887591,0.100826025,0.11352353,0.12406609
SIVB,0.004129634,0.051585,0.064262226,0.07752042
CTAS,0.040216155,0.19487756,0.20053966,0.23140836
MU,0.006269591,0.062464505,0.07918075,0.0870643
VOD,0.0018940846,0.035788707,0.043521084,0.18429346
ORLY,0.005538867,0.06322662,0.07442357,0.068611495
CTSH,0.009551397,0.080179855,0.09773125,0.121565185
ILMN,0.011536348,0.09495224,0.10740739,0.11773707
ADI,0.012877143,0.085297674,0.1134775,0.10150982
ATVI,0.01071762,0.08347965,0.10352594,0.098168485
TROW,0.0088210665,0.08165185,0.09392054,0.09583802
PYPL,0.08838313,0.29003787,0.297293,0.3582629
GOOG,0.03755009,0.1621406,0.19377846,0.18687595
JBHT,0.004025363,0.05108582,0.06344575,0.05886037
AAPL,0.14694178,0.35185888,0.38332987,0.4273185
TMUS,0.020476412,0.1285951,0.14309582,0.14990452
KHC,0.002997244,0.048517697,0.05474709,0.21709618
ERIC,0.011431448,0.08997965,0.10691795,0.104225494
NVDA,0.05477549,0.21774614,0.23404165,0.25175595
BIIB,0.004328969,0.034925997,0.0657949,0.21802099
INTU,0.03136908,0.16635177,0.17711318,0.19599369
ADBE,0.025110353,0.15246014,0.15846246,0.17559884
COST,0.010833416,0.09464578,0.104083695,0.10954826
AMD,0.0809881,0.26971552,0.28458408,0.3265588
AEP,0.0017482097,0.03301313,0.041811597,0.04935383
ALGN,0.010913235,0.074381515,0.10446643,0.098180585
MTCH,0.046429772,0.19754876,0.2154757,0.25697687
MSFT,0.0065136654,0.07063961,0.08070728,0.07828263
FB,0.033592068,0.16131027,0.18328139,0.18774012
IDXX,0.035477065,0.17982644,0.18835357,0.22785199
CHTR,0.02061456,0.13569449,0.14357771,0.15448374
AZN,0.0094739,0.08488012,0.09733396,0.099578395
EA,0.0068448465,0.067922726,0.08273359,0.08066673
HON,0.034831423,0.14933027,0.18663178,0.19283403
FTNT,0.011585093,0.08553966,0.10763407,0.099135906
LULU,0.0133909695,0.09882002,0.115719356,0.117197774
