Stock,MSE,MAE,RMSE,MAPE
DXCM,0.03845870494842529,0.17793793976306915,0.19610890746116638,0.2026596963405609
ASML,0.0420536994934082,0.18927158415317535,0.20506998896598816,0.237510547041893
CMCSA,0.008395781740546227,0.0630345419049263,0.09162849932909012,0.07978391647338867
QCOM,0.0119924396276474,0.08645960688591003,0.10950999706983566,0.11291931569576263
CDNS,0.015402359887957573,0.1108333095908165,0.12410624325275421,0.1374182254076004
WBA,0.017124494537711143,0.1251092553138733,0.1308605968952179,7335379992576.0
ROST,0.010534880682826042,0.08582379668951035,0.1026395633816719,0.13982491195201874
CSX,0.0035993349738419056,0.04459016025066376,0.05999445915222168,0.05295402184128761
BKNG,0.02070070244371891,0.10834947228431702,0.14387738704681396,0.14716698229312897
CME,0.004460252355784178,0.05272448807954788,0.06678511947393417,0.08382973819971085
POOL,0.010718820616602898,0.09251973032951355,0.10353174060583115,0.10947661101818085
JD,0.024455299600958824,0.13560158014297485,0.15638190507888794,0.16524174809455872
ADP,0.006103880703449249,0.06554228812456131,0.07812733948230743,0.09147904068231583
MCHP,0.02569003403186798,0.13127192854881287,0.16028110682964325,0.17164386808872223
MNST,0.028974466025829315,0.1481434404850006,0.17021887004375458,0.17871598899364471
INTC,0.008601048029959202,0.08216674625873566,0.09274183213710785,0.14013852179050446
SBUX,0.009864790365099907,0.07806826382875443,0.099321648478508,0.1039745882153511
MAR,0.009134444408118725,0.07888534665107727,0.095574289560318,0.1580747812986374
GOOGL,0.0544043704867363,0.20722809433937073,0.23324744403362274,0.24741458892822266
KDP,0.018307052552700043,0.12356330454349518,0.1353035569190979,0.14005696773529053
TXN,0.025566808879375458,0.13943232595920563,0.15989623963832855,0.1610277146100998
BIDU,0.002681309124454856,0.033176030963659286,0.05178136005997658,0.12172849476337433
XLNX,0.01612570323050022,0.09994736313819885,0.126987025141716,0.1324758380651474
AMGN,0.007793441414833069,0.06847605854272842,0.08828046917915344,0.07859349995851517
MDLZ,0.005186339840292931,0.05543031916022301,0.07201624661684036,0.06341344863176346
ISRG,0.052885815501213074,0.20938169956207275,0.22996915876865387,0.24338886141777039
NFLX,0.03637395799160004,0.18264944851398468,0.1907195746898651,0.20443275570869446
EBAY,0.014134223572909832,0.10441775619983673,0.11888743937015533,0.12177149951457977
MRVL,0.012975659221410751,0.0956234335899353,0.1139107495546341,0.11162326484918594
NTES,0.015104347839951515,0.10271898657083511,0.12289974838495255,0.11965774744749069
GILD,0.007860728539526463,0.07686684280633926,0.08866074681282043,0.701582133769989
