Stock,MSE,MAE,RMSE,MAPE
SBUX,0.14209984242916107,0.3504852056503296,0.3769613206386566,0.5308155417442322
TXN,0.03292413428425789,0.1632908284664154,0.18145008385181427,0.19799035787582397
NTES,0.2663619816303253,0.5107396841049194,0.51610267162323,0.6112414598464966
MRVL,0.1836812049150467,0.4180469214916229,0.42858046293258667,0.5337601900100708
KLAC,0.17729805409908295,0.40830978751182556,0.4210677444934845,0.5607959628105164
AAPL,0.19692929089069366,0.42937782406806946,0.44376716017723083,0.5611019730567932
GOOGL,0.06056895852088928,0.2199702262878418,0.24610762298107147,0.27126652002334595
AMAT,0.09374020248651505,0.2846841514110565,0.3061702251434326,0.40700390934944153
PAYX,0.06791093200445175,0.234505757689476,0.26059725880622864,0.37897324562072754
MAR,0.0836360976099968,0.2566436231136322,0.2891990542411804,0.6510286927223206
MSFT,0.017790285870432854,0.11760915815830231,0.1333802342414856,0.13542573153972626
DXCM,0.3889974057674408,0.6163251399993896,0.6236965656280518,0.7273377180099487
BIIB,0.014117090962827206,0.0966707393527031,0.1188153624534607,0.32552799582481384
CMCSA,0.11797385662794113,0.3130636215209961,0.3434732258319855,0.41947606205940247
EBAY,0.15529698133468628,0.3831995725631714,0.3940773904323578,0.4685594141483307
ATVI,0.22573886811733246,0.46656548976898193,0.47511985898017883,0.5804175734519958
ADSK,0.03984808921813965,0.18479032814502716,0.199619859457016,0.23461627960205078
ADI,0.0076244971714913845,0.07412771135568619,0.08731836825609207,0.1021236926317215
FISV,0.06895248591899872,0.24501872062683105,0.2625880539417267,0.33604559302330017
CTSH,0.055884942412376404,0.21413090825080872,0.23639996349811554,0.37489765882492065
QCOM,0.16772036254405975,0.3835281431674957,0.40953677892684937,0.5850775241851807
ADBE,0.11544675379991531,0.33116546273231506,0.33977454900741577,0.38971176743507385
CDNS,0.018158961087465286,0.12417490035295486,0.1347551941871643,0.16859935224056244
FTNT,0.042821306735277176,0.18916572630405426,0.20693309605121613,0.2219347208738327
GILD,0.04201996326446533,0.17350272834300995,0.20498771965503693,1.0086872577667236
PYPL,0.13245755434036255,0.35630524158477783,0.36394718289375305,0.4539763033390045
WDAY,0.006376948207616806,0.059899311512708664,0.07985579967498779,0.07628897577524185
KHC,0.0068922522477805614,0.07621052861213684,0.08301959186792374,0.3428926169872284
WBA,0.13199450075626373,0.35395437479019165,0.36331048607826233,11209094987776.0
BIDU,0.21315722167491913,0.45371922850608826,0.4616895318031311,2.222829580307007
CME,0.04193728044629097,0.19697898626327515,0.20478594303131104,0.3024899959564209
TMUS,0.1637372374534607,0.39382585883140564,0.40464457869529724,0.48943084478378296
