Stock,MSE,MAE,RMSE,MAPE
DXCM,0.04291585832834244,0.19598916172981262,0.20716142654418945,0.22694236040115356
ASML,0.012366027571260929,0.09189417213201523,0.11120264232158661,0.11684610694646835
CMCSA,0.006132298149168491,0.06246133893728256,0.07830899208784103,0.08749321848154068
QCOM,0.0032309226226061583,0.04216470569372177,0.056841205805540085,0.06627736240625381
CDNS,0.014611327089369297,0.10796935856342316,0.12087732553482056,0.1390274167060852
WBA,0.006424858700484037,0.07068520784378052,0.08015521615743637,4231087259648.0
ROST,0.007846526801586151,0.06564711034297943,0.08858062326908112,0.10160019993782043
CSX,0.010283967480063438,0.07989508658647537,0.1014098972082138,0.09722477942705154
BKNG,0.01381715852767229,0.09260830283164978,0.11754640936851501,0.144092857837677
CME,0.0023826390970498323,0.0407315157353878,0.04881228506565094,0.06266781687736511
POOL,0.008525489829480648,0.08121529966592789,0.09233357757329941,0.10104269534349442
JD,0.014845641329884529,0.09741044789552689,0.12184268981218338,0.1253407597541809
ADP,0.003851031418889761,0.04852502420544624,0.06205667927861214,0.06842931360006332
MCHP,0.015587566420435905,0.09677062183618546,0.12485017627477646,0.1295837014913559
MNST,0.010322174057364464,0.08712679892778397,0.1015980988740921,0.11024567484855652
INTC,0.009431867860257626,0.07517646998167038,0.09711780399084091,0.12828324735164642
SBUX,0.005157557316124439,0.05320163816213608,0.07181613892316818,0.08391603827476501
MAR,0.005446881055831909,0.05746127665042877,0.07380298525094986,0.12573835253715515
GOOGL,0.01859336905181408,0.10885898768901825,0.13635750114917755,0.1300238072872162
KDP,0.013442696072161198,0.07552669197320938,0.11594264209270477,0.08785757422447205
TXN,0.014139406383037567,0.09955450892448425,0.11890923231840134,0.11831187456846237
BIDU,0.010034007951617241,0.05570192262530327,0.10016989707946777,0.21062330901622772
XLNX,0.009883475489914417,0.0783030316233635,0.09941566735506058,0.11208388954401016
AMGN,0.007592339068651199,0.06923796981573105,0.08713402599096298,0.07965156435966492
MDLZ,0.003164350287988782,0.04553679749369621,0.056252557784318924,0.054418016225099564
ISRG,0.03698934242129326,0.15704557299613953,0.1923261284828186,0.18486550450325012
NFLX,0.03484736755490303,0.17251013219356537,0.18667449057102203,0.1964457482099533
EBAY,0.008664867840707302,0.07068654149770737,0.09308527410030365,0.08448653668165207
MRVL,0.016693320125341415,0.1123899444937706,0.12920263409614563,0.14099738001823425
NTES,0.018628539517521858,0.11882095783948898,0.13648641109466553,0.1394251585006714
GILD,0.004178042057901621,0.049638502299785614,0.06463777273893356,0.43760958313941956
TSLA,0.04348284751176834,0.17152243852615356,0.2085254192352295,0.2945025563240051
SNY,0.007612957153469324,0.07318172603845596,0.08725225925445557,0.08478988707065582
AVGO,0.01286375429481268,0.09230795502662659,0.11341848969459534,0.11936865746974945
PAYX,0.003321954282000661,0.04266248270869255,0.05763639882206917,0.06156062334775925
PEP,0.0020021351519972086,0.031680721789598465,0.044745225459337234,0.038773998618125916
ADSK,0.010002760216593742,0.08562444895505905,0.10001379996538162,0.10852129757404327
AMAT,0.0052419621497392654,0.05497032776474953,0.07240139693021774,0.0741126611828804
TEAM,0.015914306044578552,0.10690809041261673,0.1261519193649292,0.1342589259147644
LRCX,0.02387557178735733,0.12822790443897247,0.15451721847057343,0.1762501448392868
WDAY,0.02493605576455593,0.1443265676498413,0.1579115390777588,0.18788573145866394
NXPI,0.0075241681188344955,0.06661475449800491,0.08674196153879166,0.09727240353822708
KLAC,0.027728626504540443,0.1454937607049942,0.1665191501379013,0.1905834823846817
FISV,0.004451175685971975,0.054003648459911346,0.06671713292598724,0.0713283121585846
VRTX,0.00878898799419403,0.06723887473344803,0.09374960511922836,0.09385992586612701
MELI,0.004910181742161512,0.054536208510398865,0.07007268816232681,0.07760883122682571
AMZN,0.04664982482790947,0.20789246261119843,0.21598570048809052,0.2422751635313034
SNPS,0.006784220226109028,0.06808852404356003,0.08236637711524963,0.08403148502111435
ODFL,0.017811283469200134,0.1265944540500641,0.1334589272737503,0.14436890184879303
EXC,0.004049362149089575,0.0499289333820343,0.06363459676504135,0.0794319286942482
CSCO,0.007829672656953335,0.0801670178771019,0.08848543465137482,0.1237526386976242
REGN,0.003593152854591608,0.04603901877999306,0.05994291231036186,0.05788470804691315
SIVB,0.002975768642500043,0.042756564915180206,0.05455060675740242,0.07321196049451828
CTAS,0.022928502410650253,0.1431974619626999,0.15142160654067993,0.17489498853683472
MU,0.0038964771665632725,0.04596906900405884,0.0624217689037323,0.06533325463533401
VOD,0.003267207182943821,0.0440591536462307,0.057159487158060074,0.1840171068906784
ORLY,0.00696452846750617,0.07045045495033264,0.08345375210046768,0.07735305279493332
CTSH,0.009385799057781696,0.0809941440820694,0.09688033163547516,0.12953107059001923
ILMN,0.007231647148728371,0.0713416337966919,0.08503909409046173,0.09016498923301697
ADI,0.0038153750356286764,0.04447429999709129,0.06176872178912163,0.05716275796294212
ATVI,0.01181457657366991,0.09960167855024338,0.1086948812007904,0.12219855189323425
TROW,0.011013203300535679,0.08727473020553589,0.10494381189346313,0.1026044636964798
PYPL,0.012012002989649773,0.09748312830924988,0.1095992848277092,0.1266394555568695
GOOG,0.0223667211830616,0.1308000534772873,0.14955507218837738,0.16107876598834991
JBHT,0.005985331255942583,0.06195979565382004,0.07736492156982422,0.07548678666353226
AAPL,0.056453682482242584,0.20664340257644653,0.23759983479976654,0.2541712522506714
TMUS,0.01432347483932972,0.10195881873369217,0.11968071758747101,0.12167932093143463
KHC,0.0011080034309998155,0.029477562755346298,0.0332866869866848,0.1400621235370636
ERIC,0.00894490908831358,0.07686726748943329,0.09457752853631973,0.09279956668615341
NVDA,0.021485742181539536,0.13517944514751434,0.14658015966415405,0.16743898391723633
BIIB,0.010609140619635582,0.06461397558450699,0.1030006855726242,0.2375510334968567
INTU,0.013893778435885906,0.09843610227108002,0.11787187308073044,0.1160721704363823
ADBE,0.028595102950930595,0.16212034225463867,0.16910086572170258,0.19142894446849823
COST,0.007671280298382044,0.07460945099592209,0.08758584409952164,0.0879412367939949
AMD,0.028154276311397552,0.14784106612205505,0.16779236495494843,0.18145084381103516
AEP,0.0029691511299461126,0.043512433767318726,0.05448991805315018,0.06677839905023575
ALGN,0.008456842042505741,0.0639551505446434,0.0919610932469368,0.09175559878349304
MTCH,0.011525293812155724,0.08513648062944412,0.10735592246055603,0.1166265457868576
MSFT,0.00813183281570673,0.08343461155891418,0.09017667919397354,0.09427317976951599
FB,0.007618187461048365,0.07132425904273987,0.0872822254896164,0.08908571302890778
IDXX,0.007723585702478886,0.07041683793067932,0.08788393437862396,0.08933322876691818
CHTR,0.012972408905625343,0.10274466127157211,0.11389648169279099,0.11876474320888519
AZN,0.01265411265194416,0.10052122920751572,0.11249049752950668,0.11881110817193985
EA,0.006349037401378155,0.06496457010507584,0.07968084514141083,0.07943148910999298
HON,0.009352857246994972,0.07369676977396011,0.09671016782522202,0.1076299324631691
FTNT,0.0515902042388916,0.21569852530956268,0.22713476419448853,0.25579819083213806
LULU,0.029312098398804665,0.15258808434009552,0.17120777070522308,0.18379893898963928
