Stock,MSE,MAE,RMSE,MAPE
DXCM,0.010271687,0.09117479,0.10134933,0.11076687
ASML,0.012783835,0.09396224,0.11306562,0.1279073
CMCSA,0.0095039755,0.07624723,0.097488336,0.12218274
QCOM,0.0077459062,0.06384918,0.08801083,0.0987209
CDNS,0.004600305,0.0543713,0.06782555,0.07615666
WBA,0.009045938,0.08832884,0.09511013,4184179700000.0
ROST,0.015006566,0.09088174,0.12250129,0.15413588
CSX,0.0019249222,0.034636773,0.043873936,0.04638449
BKNG,0.004997289,0.052965045,0.0706915,0.10197704
CME,0.009487613,0.07312571,0.097404376,0.11454442
POOL,0.012480581,0.09811814,0.111716524,0.13585714
JD,0.0041231387,0.050334983,0.064211674,0.07330297
ADP,0.013332485,0.08343703,0.11546638,0.12228682
MCHP,0.0071614673,0.062499195,0.08462545,0.09264116
MNST,0.001973165,0.03591539,0.04442032,0.056045145
INTC,0.0036838439,0.04281718,0.060694676,0.0670404
SBUX,0.009308809,0.08232743,0.09648217,0.1314641
MAR,0.0047848066,0.052981373,0.0691723,0.16460107
GOOGL,0.010480035,0.086943954,0.10237204,0.11097886
KDP,0.0021746648,0.037975855,0.0466333,0.0449297
TXN,0.009174089,0.07839281,0.09578147,0.097884424
BIDU,0.0050777197,0.062090896,0.07125812,0.47024333
XLNX,0.046521366,0.18510151,0.21568812,0.28106907
AMGN,0.0027056797,0.040710818,0.05201615,0.048959944
MDLZ,0.005498809,0.053346295,0.07415395,0.07216475
ISRG,0.0068914164,0.068206884,0.083014555,0.08735966
NFLX,0.015840286,0.11181162,0.1258582,0.12924202
EBAY,0.0045765825,0.053162172,0.067650445,0.08400461
MRVL,0.019906074,0.122773804,0.14108889,0.16353057
NTES,0.005206321,0.061452188,0.07215484,0.07523188
GILD,0.0013962518,0.028376464,0.037366454,0.21017405
TSLA,0.035540108,0.1447916,0.18852085,0.27761373
SNY,0.013554227,0.10310232,0.11642262,0.13421991
AVGO,0.013424729,0.097514875,0.11586513,0.13622053
PAYX,0.007837379,0.061506145,0.088528976,0.11021351
PEP,0.006142859,0.04885734,0.07837639,0.07132386
ADSK,0.020174796,0.1257185,0.142038,0.16674921
AMAT,0.0034739566,0.044146154,0.05894028,0.06496995
TEAM,0.005888131,0.06176381,0.076734155,0.077492535
LRCX,0.009168153,0.074371025,0.09575047,0.1223581
WDAY,0.003086,0.04167541,0.05555178,0.06023835
NXPI,0.0022599504,0.037241887,0.047538936,0.09349697
KLAC,0.011641345,0.08850954,0.10789506,0.122235954
FISV,0.00819746,0.06701883,0.09053983,0.094799526
VRTX,0.004600668,0.056434393,0.06782822,0.069378816
MELI,0.014352852,0.09654707,0.119803384,0.14930892
AMZN,0.02905973,0.15225263,0.17046915,0.17956957
SNPS,0.011901986,0.09683994,0.10909622,0.13508552
ODFL,0.0023177986,0.040859997,0.04814352,0.052839763
EXC,0.0029380382,0.041388176,0.054203674,0.07131622
CSCO,0.0021490685,0.03328922,0.046358045,0.05717263
REGN,0.004100108,0.05079216,0.064032085,0.06558065
SIVB,0.0018706681,0.034764457,0.04325122,0.07359103
CTAS,0.013590178,0.08975881,0.11657692,0.15804534
MU,0.0020517465,0.035539977,0.045296207,0.055317875
VOD,0.0016033457,0.033969656,0.0400418,0.19530286
ORLY,0.0025527817,0.038827978,0.05052506,0.054486293
CTSH,0.0031705091,0.0419262,0.056307275,3418519000000.0
ILMN,0.0040025124,0.053004973,0.06326541,0.07053814
ADI,0.0034667877,0.045372576,0.058879435,0.06178456
ATVI,0.0028139886,0.045600396,0.053047042,0.058417834
TROW,0.010392219,0.080549784,0.101942234,0.12993407
PYPL,0.028272355,0.15823248,0.16814385,0.21765304
GOOG,0.006571095,0.06122219,0.08106229,0.089618444
JBHT,0.0037577527,0.050026152,0.061300512,0.07127939
AAPL,0.009583729,0.080434956,0.097896524,0.11708767
TMUS,0.0129993865,0.09904072,0.11401485,0.12386368
KHC,0.0006081654,0.02135865,0.02466101,0.10360893
ERIC,0.0032415215,0.039492305,0.05693436,0.05519714
NVDA,0.02227923,0.12948681,0.1492623,0.16248895
BIIB,0.0042052087,0.039124727,0.06484758,0.20855466
INTU,0.009475173,0.08040732,0.0973405,0.10473892
ADBE,0.002857932,0.039726384,0.05345963,0.055388786
COST,0.0035859572,0.050147735,0.059882864,0.06300836
AMD,0.042778667,0.17555296,0.20683004,0.22143443
AEP,0.0131577,0.08858587,0.114707015,0.14259537
ALGN,0.0043614786,0.046069454,0.06604149,0.07937284
MTCH,0.024173016,0.13096197,0.15547673,0.18335949
MSFT,0.0030936112,0.045304377,0.055620242,0.055779345
FB,0.014142153,0.1061072,0.11892078,0.14236397
IDXX,0.01476399,0.101498365,0.12150716,0.13790837
CHTR,0.004152553,0.042565893,0.06444031,0.062217582
AZN,0.001979852,0.03488929,0.04449553,0.043981794
EA,0.004823461,0.056233525,0.069451146,0.07322813
HON,0.012293013,0.08091325,0.11087386,0.14395201
FTNT,0.00914231,0.07552762,0.09561543,0.09615217
LULU,0.018748926,0.122366525,0.13692671,0.16054074
