Stock,MSE,MAE,RMSE,MAPE
DXCM,0.03198372572660446,0.15838392078876495,0.17883995175361633,0.1790337860584259
ASML,0.041053254157304764,0.1871482878923416,0.20261602103710175,0.23487019538879395
CMCSA,0.004758024588227272,0.05689285323023796,0.0689784362912178,0.07948696613311768
QCOM,0.019783178344368935,0.12072906643152237,0.14065268635749817,0.16137245297431946
CDNS,0.029372723773121834,0.15680031478405,0.17138472199440002,0.19479210674762726
WBA,0.009366493672132492,0.08926529437303543,0.09678065031766891,6689638580224.0
ROST,0.011974922381341457,0.09609708935022354,0.1094299852848053,0.15729643404483795
CSX,0.00950659066438675,0.07001001387834549,0.09750174731016159,0.07935312390327454
BKNG,0.017041511833667755,0.09436044096946716,0.13054314255714417,0.13014203310012817
CME,0.004866711795330048,0.059483472257852554,0.06976182013750076,0.09261782467365265
POOL,0.01222346443682909,0.09162703156471252,0.11055977642536163,0.10893972218036652
JD,0.031923145055770874,0.15126928687095642,0.1786704957485199,0.1817374974489212
ADP,0.020499086007475853,0.12554985284805298,0.14317502081394196,0.16509637236595154
MCHP,0.03235367685556412,0.14762115478515625,0.17987127602100372,0.1917751431465149
MNST,0.03800377994775772,0.18234077095985413,0.1949455887079239,0.22508059442043304
INTC,0.0074715567752718925,0.07138286530971527,0.08643816411495209,0.12616974115371704
SBUX,0.006153803318738937,0.06122714281082153,0.07844617962837219,0.0848960429430008
MAR,0.0051936134696006775,0.055882737040519714,0.07206673175096512,0.11861123889684677
GOOGL,0.0397762693464756,0.19177298247814178,0.1994398832321167,0.23569341003894806
KDP,0.006479423027485609,0.06590420007705688,0.08049486577510834,0.0743730217218399
TXN,0.02707829885184765,0.14542193710803986,0.16455484926700592,0.16853806376457214
BIDU,0.002485230565071106,0.03316430374979973,0.04985208809375763,0.12525460124015808
XLNX,0.0207537729293108,0.10919070988893509,0.14406169950962067,0.14140015840530396
AMGN,0.007950156927108765,0.07019487768411636,0.0891636535525322,0.07917296141386032
MDLZ,0.004135973751544952,0.0522284135222435,0.06431153416633606,0.059447094798088074
ISRG,0.04185972362756729,0.18866132199764252,0.20459648966789246,0.2200666069984436
NFLX,0.019716588780283928,0.13087469339370728,0.14041577279567719,0.1459842324256897
EBAY,0.010897448286414146,0.08816584944725037,0.10439084470272064,0.1033678874373436
MRVL,0.013303515501320362,0.10181105136871338,0.11534086614847183,0.12139607965946198
NTES,0.017805065959692,0.11428465694189072,0.13343562185764313,0.12959004938602448
GILD,0.007118374574929476,0.06878533214330673,0.084370456635952,0.508270800113678
TSLA,0.05313059315085411,0.20438356697559357,0.2305007427930832,0.3299817740917206
SNY,0.017488600686192513,0.11981819570064545,0.13224446773529053,0.1383965015411377
AVGO,0.018136650323867798,0.1149953305721283,0.1346723884344101,0.14197833836078644
PAYX,0.004434088245034218,0.04202684387564659,0.06658895313739777,0.05387100204825401
PEP,0.002719519194215536,0.04204123839735985,0.052149008959531784,0.050313543528318405
ADSK,0.02107188105583191,0.12535883486270905,0.14516156911849976,0.15290391445159912
AMAT,0.010068109259009361,0.07701444625854492,0.10033997148275375,0.10186835378408432
TEAM,0.01586354337632656,0.10897322744131088,0.12595055997371674,0.13750939071178436
LRCX,0.02550916187465191,0.13681843876838684,0.15971587598323822,0.181235671043396
WDAY,0.04169328138232231,0.18916115164756775,0.20418933033943176,0.23676221072673798
NXPI,0.02032540552318096,0.11077083647251129,0.1425672024488449,0.1518630087375641
KLAC,0.0336100198328495,0.1578911542892456,0.18333035707473755,0.19745281338691711
FISV,0.004611152224242687,0.05730416253209114,0.06790546327829361,0.07648555189371109
VRTX,0.013725733384490013,0.10294933617115021,0.11715687811374664,0.1271468997001648
MELI,0.04317232593894005,0.18427690863609314,0.20777951180934906,0.2516723871231079
AMZN,0.10091139376163483,0.31091609597206116,0.31766554713249207,0.35168272256851196
SNPS,0.015157078392803669,0.10087236016988754,0.12311408668756485,0.11856148391962051
ODFL,0.04792395979166031,0.21555829048156738,0.2189154177904129,0.2390904724597931
EXC,0.004721722099930048,0.056023236364126205,0.06871479004621506,0.09313209354877472
CSCO,0.019004544243216515,0.11819121241569519,0.13785697519779205,0.17917902767658234
REGN,0.003991295583546162,0.04725759103894234,0.0631766989827156,0.06473394483327866
SIVB,0.010995693504810333,0.08366946876049042,0.1048603504896164,0.12409099191427231
CTAS,0.026084471493959427,0.1512632668018341,0.16150687634944916,0.17372091114521027
MU,0.014651976525783539,0.09328248351812363,0.12104535102844238,0.12451919913291931
VOD,0.005259769037365913,0.05705253779888153,0.07252426445484161,0.22851835191249847
ORLY,0.008567008189857006,0.08256324380636215,0.0925581306219101,0.08986314386129379
CTSH,0.005350206047296524,0.05154156684875488,0.07314509898424149,0.07704300433397293
ILMN,0.009738190099596977,0.08233809471130371,0.09868226945400238,0.10403451323509216
ADI,0.012419424951076508,0.0886060893535614,0.11144247651100159,0.10773734748363495
ATVI,0.02319543994963169,0.1333104819059372,0.15230049192905426,0.15951910614967346
TROW,0.05249132961034775,0.20834313333034515,0.22910986840724945,0.2414446920156479
PYPL,0.028516247868537903,0.15628273785114288,0.1688675433397293,0.19455014169216156
GOOG,0.04839044064283371,0.20309658348560333,0.21997827291488647,0.24453547596931458
JBHT,0.018307799473404884,0.11804606765508652,0.13530631363391876,0.13402101397514343
AAPL,0.10760712623596191,0.315694659948349,0.32803526520729065,0.3854830265045166
TMUS,0.011570646427571774,0.08625797182321548,0.1075669378042221,0.09815048426389694
KHC,0.0028437962755560875,0.04658421128988266,0.053327254951000214,0.20912803709506989
ERIC,0.021227046847343445,0.12377309799194336,0.1456950455904007,0.1448226124048233
NVDA,0.07036405801773071,0.25757092237472534,0.265262246131897,0.3028744161128998
BIIB,0.014271367341279984,0.07847335189580917,0.11946282535791397,0.3190357983112335
INTU,0.023936176672577858,0.1304713785648346,0.1547132134437561,0.15619011223316193
ADBE,0.04617634043097496,0.20929260551929474,0.21488681435585022,0.23941895365715027
COST,0.007398298475891352,0.07242489606142044,0.08601336181163788,0.08404307067394257
AMD,0.036595407873392105,0.17370586097240448,0.19129925966262817,0.20216144621372223
AEP,0.00366341695189476,0.04860002547502518,0.06052616611123085,0.07837468385696411
ALGN,0.027021026238799095,0.11899155378341675,0.1643807291984558,0.15110698342323303
MTCH,0.020333411172032356,0.1259290874004364,0.14259527623653412,0.1628945767879486
MSFT,0.020639799535274506,0.13533839583396912,0.14366558194160461,0.14926782250404358
FB,0.04206456243991852,0.19023925065994263,0.20509646832942963,0.22605465352535248
IDXX,0.03244717791676521,0.16279548406600952,0.1801310032606125,0.19802267849445343
CHTR,0.01513513084501028,0.11196815222501755,0.12302491813898087,0.12599040567874908
AZN,0.0037907722871750593,0.049967847764492035,0.061569247394800186,0.06033944711089134
EA,0.009195597842335701,0.07716962695121765,0.09589368104934692,0.09166552126407623
HON,0.010596254840493202,0.07372748106718063,0.10293810814619064,0.09868380427360535
FTNT,0.011203181929886341,0.08267625421285629,0.10584508627653122,0.09640683233737946
LULU,0.0464044027030468,0.20524759590625763,0.215416818857193,0.24191133677959442
