Stock,MSE,MAE,RMSE,MAPE
DXCM,0.23875164985656738,0.4885091781616211,0.48862218856811523,0.6366995573043823
ASML,0.5688292384147644,0.7541722655296326,0.7542076706886292,0.7736740708351135
CMCSA,0.31837230920791626,0.5633963346481323,0.5642449259757996,0.5981268882751465
QCOM,0.5618455410003662,0.7495138049125671,0.7495635747909546,0.821829080581665
CDNS,0.3045309782028198,0.5516162514686584,0.5518432259559631,0.5683596730232239
WBA,0.38664302229881287,0.6216914057731628,0.621806263923645,4.278688430786133
ROST,0.14751851558685303,0.38206276297569275,0.3840813934803009,0.4058912992477417
CSX,0.08100246638059616,0.2845264971256256,0.284609317779541,0.2954410910606384
BKNG,0.002957131713628769,0.040931861847639084,0.05437951534986496,0.04358403757214546
CME,0.06525721400976181,0.25516998767852783,0.2554549276828766,0.34034764766693115
POOL,0.5021995902061462,0.7085451483726501,0.7086604237556458,0.7547062635421753
JD,0.624037504196167,0.7891156673431396,0.7899604439735413,0.8941425681114197
ADP,0.30653077363967896,0.553422212600708,0.5536522269248962,0.5680547952651978
MCHP,0.4289647936820984,0.6547142267227173,0.6549540162086487,0.705939531326294
MNST,0.4168965816497803,0.6453170776367188,0.6456753015518188,0.6771136522293091
INTC,0.0058538648299872875,0.06748563796281815,0.07651055604219437,0.1283622682094574
SBUX,0.5214493274688721,0.7218015193939209,0.7221145033836365,0.7649585008621216
MAR,0.005318025592714548,0.07176896929740906,0.07292479276657104,0.09477508068084717
GOOGL,0.26243627071380615,0.5121656656265259,0.5122853517532349,0.553709864616394
KDP,0.48374781012535095,0.6951817274093628,0.6955198049545288,0.7142617702484131
TXN,0.34778892993927,0.5897048115730286,0.5897363424301147,0.6117448210716248
BIDU,0.025044267997145653,0.1529538929462433,0.15825380384922028,0.28026771545410156
XLNX,0.4223130941390991,0.6490502953529358,0.6498562097549438,0.6969169974327087
AMGN,0.13233257830142975,0.36278730630874634,0.36377546191215515,0.4709686040878296
MDLZ,0.21896730363368988,0.4676715135574341,0.46793943643569946,0.48825544118881226
ISRG,0.16050811111927032,0.40019986033439636,0.40063464641571045,0.4096876382827759
NFLX,0.06006200984120369,0.24440458416938782,0.245075523853302,0.26148831844329834
EBAY,0.2743719518184662,0.5231953859329224,0.5238052606582642,0.654742956161499
MRVL,0.21757538616657257,0.46629583835601807,0.4664497673511505,0.4725762903690338
NTES,0.31534329056739807,0.5612425208091736,0.5615543723106384,0.6398535966873169
GILD,0.5763302445411682,0.7586443424224854,0.7591641545295715,20.94388771057129
TSLA,0.7838126420974731,0.8848474025726318,0.885331928730011,0.9432297945022583
SNY,0.07468241453170776,0.27250608801841736,0.2732808291912079,0.3717821538448334
AVGO,0.24962647259235382,0.4994913637638092,0.4996263384819031,0.5109947919845581
PAYX,0.4052008390426636,0.6358904242515564,0.6365538835525513,0.6582397222518921
PEP,0.29709744453430176,0.5446746349334717,0.5450664758682251,0.564670979976654
ADSK,0.3508131504058838,0.592168390750885,0.5922948122024536,0.6028940677642822
AMAT,0.2975991666316986,0.5453259348869324,0.5455265045166016,0.5764204263687134
LRCX,0.37503302097320557,0.6118917465209961,0.6123993992805481,0.6590311527252197
WDAY,0.3086234927177429,0.5547536015510559,0.5555388927459717,0.5935770869255066
NXPI,0.23193570971488953,0.481117844581604,0.48159703612327576,0.525437593460083
KLAC,0.3614157438278198,0.5981888175010681,0.6011786460876465,0.6234829425811768
FISV,0.3815557360649109,0.6174762845039368,0.6177020072937012,0.7183631062507629
VRTX,0.10633191466331482,0.3260325491428375,0.32608574628829956,0.46316400170326233
MELI,0.5814011693000793,0.7623639702796936,0.7624966502189636,0.7805852890014648
AMZN,0.24938318133354187,0.4988795816898346,0.49938279390335083,0.5526893138885498
SNPS,0.49858707189559937,0.706038236618042,0.706106960773468,0.719806969165802
ODFL,0.25508934259414673,0.5043363571166992,0.5050637125968933,0.5485270023345947
EXC,0.004936793819069862,0.06859605759382248,0.07026232033967972,0.09120998531579971
CSCO,0.0104593550786376,0.10072562098503113,0.10227099061012268,0.143832728266716
REGN,0.07181865721940994,0.26773372292518616,0.26799002289772034,0.4758986830711365
SIVB,0.5157637596130371,0.7177168726921082,0.7181669473648071,0.756023108959198
CTAS,0.3048953711986542,0.5517064332962036,0.5521733164787292,0.5938666462898254
MU,0.19534796476364136,0.44183602929115295,0.44198185205459595,0.47186458110809326
VOD,0.00102520314976573,0.027555635198950768,0.032018791884183884,0.0751132071018219
ORLY,0.17832431197166443,0.4222380518913269,0.42228463292121887,0.46450573205947876
CTSH,0.2487453669309616,0.49853387475013733,0.49874380230903625,0.5104538798332214
ILMN,0.050463899970054626,0.22421924769878387,0.22464171051979065,0.2562834918498993
ADI,0.31436803936958313,0.5605847835540771,0.5606853365898132,0.5804756283760071
ATVI,0.30879226326942444,0.55500727891922,0.5556908249855042,0.5772111415863037
TROW,0.24397172033786774,0.49377429485321045,0.4939349293708801,0.5116665363311768
PYPL,0.1982318013906479,0.4452323019504547,0.4452323019504547,0.4722653329372406
GOOG,0.22741778194904327,0.4764143228530884,0.4768834114074707,0.5139033198356628
JBHT,0.0691615641117096,0.25860077142715454,0.26298585534095764,0.27210915088653564
AAPL,0.6012057065963745,0.7750757932662964,0.7753745317459106,0.8114004135131836
TMUS,0.27829688787460327,0.5273451209068298,0.527538537979126,0.5422495603561401
KHC,0.022418059408664703,0.14972661435604095,0.14972661435604095,0.6010197997093201
ERIC,0.20270425081253052,0.4499606490135193,0.45022690296173096,0.49149051308631897
NVDA,0.3354050815105438,0.5789966583251953,0.5791416764259338,0.644718587398529
BIIB,0.1652902215719223,0.40643584728240967,0.4065589904785156,2.230626106262207
INTU,0.2203986942768097,0.4694068133831024,0.4694663882255554,0.4731273055076599
ADBE,0.3934192657470703,0.6271824240684509,0.6272314190864563,0.6775862574577332
COST,0.22619400918483734,0.47521087527275085,0.4755985736846924,0.5141844153404236
AMD,0.30696433782577515,0.5527462363243103,0.5540436506271362,0.5771374702453613
AEP,0.052760783582925797,0.2288508415222168,0.22969715297222137,0.3649449646472931
ALGN,0.26528772711753845,0.514909565448761,0.5150609016418457,0.525431752204895
MTCH,0.7144609093666077,0.8431442975997925,0.8452578783035278,0.8649499416351318
MSFT,0.6938557624816895,0.8314169645309448,0.8329800367355347,0.8731560707092285
FB,0.49993255734443665,0.7068235874176025,0.7070590853691101,0.8315370082855225
IDXX,0.353213906288147,0.5941542983055115,0.5943180322647095,0.6049081087112427
CHTR,0.5115644931793213,0.7151315808296204,0.7152373790740967,0.7554954886436462
AZN,0.10056190192699432,0.3164197504520416,0.3171149790287018,0.44383808970451355
EA,0.3008178174495697,0.5482986569404602,0.5484685897827148,0.5972304940223694
HON,0.19315963983535767,0.43940624594688416,0.4394993185997009,0.45527586340904236
FTNT,0.4290262758731842,0.6541716456413269,0.6550009846687317,0.6797519326210022
LULU,0.5379448533058167,0.732528805732727,0.733447253704071,0.8164193034172058
