Stock,MSE,MAE,RMSE,MAPE
SBUX,0.03206287696957588,0.13785295188426971,0.17906109988689423,0.19158673286437988
TXN,0.02546532079577446,0.1388840228319168,0.1595785766839981,0.16634821891784668
NTES,0.20431792736053467,0.44650959968566895,0.45201539993286133,0.5337496399879456
MRVL,0.1498502939939499,0.3772221803665161,0.3871050179004669,0.4828532338142395
KLAC,0.19194087386131287,0.42529451847076416,0.4381105601787567,0.5844471454620361
AAPL,0.16173721849918365,0.3913643956184387,0.40216565132141113,0.5149316191673279
GOOGL,0.07524439692497253,0.2517693042755127,0.27430713176727295,0.31371480226516724
AMAT,0.0820075124502182,0.2621912360191345,0.28636953234672546,0.37205561995506287
PAYX,0.01379187311977148,0.10757682472467422,0.11743880808353424,0.16200925409793854
MAR,0.07586941868066788,0.24950313568115234,0.27544403076171875,0.6239256262779236
MSFT,0.04152059927582741,0.19969044625759125,0.20376604795455933,0.2279779464006424
DXCM,0.40680035948753357,0.631131112575531,0.6378090381622314,0.7454285025596619
BIIB,0.013604373671114445,0.09175233542919159,0.11663778871297836,0.31165018677711487
CMCSA,0.06066746264696121,0.2144445776939392,0.24630765616893768,0.28229039907455444
EBAY,0.19545145332813263,0.4291640818119049,0.4420989155769348,0.5236409306526184
ATVI,0.11426465213298798,0.3311811685562134,0.33803054690361023,0.41179513931274414
ADSK,0.06954499334096909,0.250926673412323,0.2637138366699219,0.3194761872291565
ADI,0.011400156654417515,0.09062822163105011,0.10677151381969452,0.12233911454677582
FISV,0.08360327035188675,0.26737111806869507,0.28914231061935425,0.3651208281517029
CTSH,0.058704160153865814,0.21657903492450714,0.24228940904140472,0.3724331259727478
QCOM,0.20885039865970612,0.4249609112739563,0.45700153708457947,0.6435689330101013
ADBE,0.11869379878044128,0.3355731964111328,0.3445196747779846,0.39477282762527466
CDNS,0.0487593337893486,0.21470068395137787,0.22081515192985535,0.2847416400909424
FTNT,0.044798046350479126,0.18471819162368774,0.21165548264980316,0.21665076911449432
GILD,0.038838859647512436,0.1724696010351181,0.1970757693052292,1.1300791501998901
PYPL,0.13355669379234314,0.3578633964061737,0.3654540777206421,0.45601388812065125
WDAY,0.00957039650529623,0.07684878259897232,0.09782840311527252,0.09608405828475952
KHC,0.004335868638008833,0.05694622918963432,0.06584731489419937,0.25194820761680603
WBA,0.04038620740175247,0.17857575416564941,0.20096319913864136,6392801394688.0
BIDU,0.22679771482944489,0.4717758893966675,0.4762328267097473,2.3104054927825928
CME,0.07070539146661758,0.25988826155662537,0.26590484380722046,0.3986254036426544
TMUS,0.15495912730693817,0.3811202049255371,0.3936484754085541,0.4722331166267395
MELI,0.03478223457932472,0.17130662500858307,0.1864999532699585,0.2591296136379242
JBHT,0.13563205301761627,0.349357932806015,0.36828258633613586,0.4068233072757721
VRTX,0.03584491088986397,0.16161729395389557,0.18932752311229706,0.1857479065656662
INTC,0.017482571303844452,0.12221512943506241,0.13222166895866394,0.19910714030265808
MTCH,0.009081574156880379,0.0782608762383461,0.09529729187488556,0.11642568558454514
IDXX,0.08867708593606949,0.2676151394844055,0.29778698086738586,0.33941516280174255
ERIC,0.2652987241744995,0.4902430474758148,0.5150715708732605,0.5981232523918152
ROST,0.0471482127904892,0.1919606328010559,0.21713639795780182,0.345799058675766
MNST,0.13384883105754852,0.3461032509803772,0.36585357785224915,0.44760289788246155
ODFL,0.16952697932720184,0.40590745210647583,0.41173654794692993,0.4662598967552185
ASML,0.14966599643230438,0.37817278504371643,0.38686689734458923,0.5013094544410706
INTU,0.03846490755677223,0.17398671805858612,0.19612471759319305,0.20684976875782013
GOOG,0.0736878514289856,0.24833153188228607,0.2714550495147705,0.3078741729259491
NFLX,0.1241290271282196,0.34533655643463135,0.35231950879096985,0.39856603741645813
ORLY,0.12595102190971375,0.3509080708026886,0.35489580035209656,0.39549654722213745
MU,0.1068446934223175,0.3015061914920807,0.3268710672855377,0.4376019239425659
XLNX,0.04296312853693962,0.14527791738510132,0.20727549493312836,0.19024255871772766
AEP,0.01859467290341854,0.11854735761880875,0.13636228442192078,0.19546112418174744
ISRG,0.05622391775250435,0.20853117108345032,0.23711583018302917,0.24799296259880066
FB,0.1365869641304016,0.3614974915981293,0.36957672238349915,0.45632022619247437
AMZN,0.16277289390563965,0.39446327090263367,0.40345123410224915,0.46255043148994446
MDLZ,0.16939674317836761,0.4047620892524719,0.41157835721969604,0.47229233384132385
